0 --> 1 || 2.464 3.2289 0 117
0 --> 5 || 2.464 9.46591 0 343
0 --> 2 || 2.464 1.35227 0 49
0 --> 4 || 2.464 0.496753 0 18

0 --> 0 || 2.464 10.9838 0 398
0 --> 2 || 2.464 4.63636 0 168
0 --> 1 || 2.464 1.95942 0 71
0 --> 5 || 2.464 9.79708 0 355
0 --> 3 || 2.464 0.220779 0 8

0 --> 0 || 2.464 9.5211 0 345
0 --> 1 || 2.464 5.05032 0 183
0 --> 2 || 2.464 3.06331 0 111
0 --> 5 || 2.464 9.74188 0 353
0 --> 3 || 2.464 0.220779 0 8

0 --> 4 || 2.464 1.90422 0 69
0 --> 2 || 2.464 12.2808 0 445
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.49026 0 54
0 --> 1 || 2.464 1.90422 0 69
0 --> 0 || 2.464 0.965909 0 35

0 --> 0 || 2.464 11.6461 0 422
0 --> 5 || 2.464 9.68669 0 351
0 --> 2 || 2.464 3.06331 0 111
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.74513 0 27
0 --> 4 || 2.464 0.220779 0 8

0 --> 2 || 2.464 5.60227 0 203
0 --> 1 || 2.464 7.25812 0 263
0 --> 0 || 2.464 4.88474 0 177
0 --> 5 || 2.464 9.46591 0 343
0 --> 3 || 2.464 0.386364 0 14

0 --> 1 || 2.464 5.40909 0 196
0 --> 2 || 2.464 5.16071 0 187
0 --> 5 || 2.464 9.30032 0 337
0 --> 4 || 2.464 1.73864 0 63
0 --> 0 || 2.464 4.2776 0 155
0 --> 3 || 2.464 1.71104 0 62

0 --> 5 || 2.464 19.263 0 698
0 --> 2 || 2.464 5.79545 0 210
0 --> 0 || 2.464 0.358766 0 13
0 --> 1 || 2.464 0.800325 0 29
0 --> 4 || 2.464 0.689935 0 25
0 --> 3 || 2.464 0.689935 0 25

0 --> 0 || 2.464 5.54708 0 201
0 --> 2 || 2.464 3.03571 0 110
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 8.94156 0 324
0 --> 3 || 2.464 0.331169 0 12

0 --> 0 || 2.464 5.90584 0 214
0 --> 1 || 2.464 9.76948 0 354
0 --> 5 || 2.464 9.02435 0 327
0 --> 3 || 2.464 0.496753 0 18
0 --> 2 || 2.464 2.37338 0 86
0 --> 4 || 2.464 0.0275974 0 1

0 --> 3 || 2.464 4.02922 0 146
0 --> 1 || 2.464 9.5763 0 347
0 --> 0 || 2.464 1.57305 0 57
0 --> 5 || 2.464 9.87987 0 358
0 --> 2 || 2.464 2.29058 0 83
0 --> 4 || 2.464 0.248377 0 9

0 --> 0 || 2.464 11.1494 0 404
0 --> 1 || 2.464 4.11201 0 149
0 --> 5 || 2.464 9.71429 0 352
0 --> 2 || 2.464 2.34578 0 85
0 --> 3 || 2.464 0.275974 0 10

0 --> 4 || 2.464 2.78734 0 101
0 --> 5 || 2.464 9.43831 0 342
0 --> 2 || 2.464 11.3149 0 410
0 --> 1 || 2.464 1.24188 0 45
0 --> 0 || 2.464 1.71104 0 62
0 --> 3 || 2.464 1.1039 0 40

0 --> 0 || 2.464 7.97565 0 289
0 --> 5 || 2.464 10.0179 0 363
0 --> 1 || 2.464 4.30519 0 156
0 --> 3 || 2.464 0.413961 0 15
0 --> 2 || 2.464 4.80195 0 174
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 13.9091 0 504
0 --> 5 || 2.464 9.21753 0 334
0 --> 2 || 2.464 1.76623 0 64
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.386364 0 14
0 --> 4 || 2.464 0.0827922 0 3

0 --> 3 || 2.464 2.42857 0 88
0 --> 5 || 2.464 14.1299 0 512
0 --> 1 || 2.464 2.29058 0 83
0 --> 2 || 2.464 6.375 0 231
0 --> 4 || 2.464 0.910714 0 33
0 --> 0 || 2.464 1.46266 0 53

0 --> 0 || 2.464 8.30682 0 301
0 --> 1 || 2.464 5.85065 0 212
0 --> 2 || 2.464 3.56006 0 129
0 --> 5 || 2.464 9.35552 0 339
0 --> 4 || 2.464 0.0827922 0 3
0 --> 3 || 2.464 0.441558 0 16

0 --> 0 || 2.464 10.5974 0 384
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 5.18831 0 188
0 --> 2 || 2.464 1.65584 0 60
0 --> 3 || 2.464 0.413961 0 15

0 --> 0 || 2.464 8.36201 0 303
0 --> 5 || 2.464 9.65909 0 350
0 --> 1 || 2.464 5.07792 0 184
0 --> 2 || 2.464 4.25 0 154
0 --> 3 || 2.464 0.248377 0 9

0 --> 5 || 2.464 17.8831 0 648
0 --> 0 || 2.464 5.21591 0 189
0 --> 2 || 2.464 2.01461 0 73
0 --> 1 || 2.464 1.49026 0 54
0 --> 3 || 2.464 0.938312 0 34
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 11.3149 0 410
0 --> 5 || 2.464 9.43831 0 342
0 --> 1 || 2.464 3.86364 0 140
0 --> 2 || 2.464 1.21429 0 44
0 --> 3 || 2.464 0.910714 0 33
0 --> 4 || 2.464 0.855519 0 31

0 --> 0 || 2.464 12.6948 0 460
0 --> 2 || 2.464 2.45617 0 89
0 --> 5 || 2.464 10.1282 0 367
0 --> 3 || 2.464 0.137987 0 5
0 --> 1 || 2.464 2.1526 0 78
0 --> 4 || 2.464 0.0275974 0 1

0 --> 5 || 2.464 19.2078 0 696
0 --> 0 || 2.464 0.855519 0 31
0 --> 2 || 2.464 3.47727 0 126
0 --> 1 || 2.464 2.42857 0 88
0 --> 3 || 2.464 0.441558 0 16
0 --> 4 || 2.464 1.18669 0 43

0 --> 0 || 2.464 6.95455 0 252
0 --> 5 || 2.464 13.8263 0 501
0 --> 3 || 2.464 0.165584 0 6
0 --> 2 || 2.464 1.21429 0 44
0 --> 1 || 2.464 5.40909 0 196
0 --> 4 || 2.464 0.0275974 0 1

0 --> 1 || 2.464 8.11364 0 294
0 --> 5 || 2.464 9.63149 0 349
0 --> 3 || 2.464 0.74513 0 27
0 --> 0 || 2.464 4.71916 0 171
0 --> 2 || 2.464 4.33279 0 157
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 8.19643 0 297
0 --> 1 || 2.464 7.4237 0 269
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.65584 0 60
0 --> 2 || 2.464 1.18669 0 43
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 7.25812 0 263
0 --> 5 || 2.464 9.49351 0 344
0 --> 1 || 2.464 8.55519 0 310
0 --> 3 || 2.464 1.37987 0 50
0 --> 2 || 2.464 0.883117 0 32
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 6.78896 0 246
0 --> 5 || 2.464 9.46591 0 343
0 --> 1 || 2.464 8.58279 0 311
0 --> 3 || 2.464 1.0763 0 39
0 --> 4 || 2.464 0.607143 0 22
0 --> 2 || 2.464 1.0763 0 39

0 --> 0 || 2.464 4.69156 0 170
0 --> 5 || 2.464 13.6607 0 495
0 --> 1 || 2.464 5.3263 0 193
0 --> 2 || 2.464 3.53247 0 128
0 --> 3 || 2.464 0.358766 0 13
0 --> 4 || 2.464 0.0275974 0 1

0 --> 3 || 2.464 3.91883 0 142
0 --> 4 || 2.464 2.29058 0 83
0 --> 2 || 2.464 1.65584 0 60
0 --> 5 || 2.464 9.21753 0 334
0 --> 0 || 2.464 8.4724 0 307
0 --> 1 || 2.464 2.04221 0 74

0 --> 1 || 2.464 12.75 0 462
0 --> 5 || 2.464 9.24513 0 335
0 --> 0 || 2.464 2.45617 0 89
0 --> 2 || 2.464 2.34578 0 85
0 --> 3 || 2.464 0.772727 0 28
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 11.8117 0 428
0 --> 5 || 2.464 9.90747 0 359
0 --> 1 || 2.464 2.125 0 77
0 --> 2 || 2.464 2.56656 0 93
0 --> 3 || 2.464 0.855519 0 31
0 --> 4 || 2.464 0.331169 0 12

0 --> 2 || 2.464 3.58766 0 130
0 --> 1 || 2.464 5.40909 0 196
0 --> 0 || 2.464 8.33442 0 302
0 --> 5 || 2.464 9.65909 0 350
0 --> 3 || 2.464 0.551948 0 20
0 --> 4 || 2.464 0.0551948 0 2

0 --> 1 || 2.464 8.00325 0 290
0 --> 5 || 2.464 10.4594 0 379
0 --> 2 || 2.464 5.10552 0 185
0 --> 0 || 2.464 3.64286 0 132
0 --> 3 || 2.464 0.220779 0 8
0 --> 4 || 2.464 0.165584 0 6

0 --> 0 || 2.464 11.7841 0 427
0 --> 3 || 2.464 1.26948 0 46
0 --> 1 || 2.464 3.2289 0 117
0 --> 5 || 2.464 9.46591 0 343
0 --> 2 || 2.464 1.35227 0 49
0 --> 4 || 2.464 0.496753 0 18

0 --> 0 || 2.464 10.9838 0 398
0 --> 2 || 2.464 4.63636 0 168
0 --> 1 || 2.464 1.95942 0 71
0 --> 5 || 2.464 9.79708 0 355
0 --> 3 || 2.464 0.220779 0 8

0 --> 0 || 2.464 9.5211 0 345
0 --> 1 || 2.464 5.05032 0 183
0 --> 2 || 2.464 3.06331 0 111
0 --> 5 || 2.464 9.74188 0 353
0 --> 3 || 2.464 0.220779 0 8

0 --> 4 || 2.464 1.90422 0 69
0 --> 2 || 2.464 12.2808 0 445
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.49026 0 54
0 --> 1 || 2.464 1.90422 0 69
0 --> 0 || 2.464 0.965909 0 35

0 --> 0 || 2.464 11.6461 0 422
0 --> 5 || 2.464 9.68669 0 351
0 --> 2 || 2.464 3.06331 0 111
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.74513 0 27
0 --> 4 || 2.464 0.220779 0 8

0 --> 2 || 2.464 5.60227 0 203
0 --> 1 || 2.464 7.25812 0 263
0 --> 0 || 2.464 4.88474 0 177
0 --> 5 || 2.464 9.46591 0 343
0 --> 3 || 2.464 0.386364 0 14

0 --> 1 || 2.464 5.40909 0 196
0 --> 2 || 2.464 5.16071 0 187
0 --> 5 || 2.464 9.30032 0 337
0 --> 4 || 2.464 1.73864 0 63
0 --> 0 || 2.464 4.2776 0 155
0 --> 3 || 2.464 1.71104 0 62

0 --> 5 || 2.464 19.263 0 698
0 --> 2 || 2.464 5.79545 0 210
0 --> 0 || 2.464 0.358766 0 13
0 --> 1 || 2.464 0.800325 0 29
0 --> 4 || 2.464 0.689935 0 25
0 --> 3 || 2.464 0.689935 0 25

0 --> 0 || 2.464 5.54708 0 201
0 --> 2 || 2.464 3.03571 0 110
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 8.94156 0 324
0 --> 3 || 2.464 0.331169 0 12

0 --> 0 || 2.464 5.90584 0 214
0 --> 1 || 2.464 9.76948 0 354
0 --> 5 || 2.464 9.02435 0 327
0 --> 3 || 2.464 0.496753 0 18
0 --> 2 || 2.464 2.37338 0 86
0 --> 4 || 2.464 0.0275974 0 1

0 --> 3 || 2.464 4.02922 0 146
0 --> 1 || 2.464 9.5763 0 347
0 --> 0 || 2.464 1.57305 0 57
0 --> 5 || 2.464 9.87987 0 358
0 --> 2 || 2.464 2.29058 0 83
0 --> 4 || 2.464 0.248377 0 9

0 --> 0 || 2.464 11.1494 0 404
0 --> 1 || 2.464 4.11201 0 149
0 --> 5 || 2.464 9.71429 0 352
0 --> 2 || 2.464 2.34578 0 85
0 --> 3 || 2.464 0.275974 0 10

0 --> 4 || 2.464 2.78734 0 101
0 --> 5 || 2.464 9.43831 0 342
0 --> 2 || 2.464 11.3149 0 410
0 --> 1 || 2.464 1.24188 0 45
0 --> 0 || 2.464 1.71104 0 62
0 --> 3 || 2.464 1.1039 0 40

0 --> 0 || 2.464 7.97565 0 289
0 --> 5 || 2.464 10.0179 0 363
0 --> 1 || 2.464 4.30519 0 156
0 --> 3 || 2.464 0.413961 0 15
0 --> 2 || 2.464 4.80195 0 174
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 13.9091 0 504
0 --> 5 || 2.464 9.21753 0 334
0 --> 2 || 2.464 1.76623 0 64
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.386364 0 14
0 --> 4 || 2.464 0.0827922 0 3

0 --> 3 || 2.464 2.42857 0 88
0 --> 5 || 2.464 14.1299 0 512
0 --> 1 || 2.464 2.29058 0 83
0 --> 2 || 2.464 6.375 0 231
0 --> 4 || 2.464 0.910714 0 33
0 --> 0 || 2.464 1.46266 0 53

0 --> 0 || 2.464 8.30682 0 301
0 --> 1 || 2.464 5.85065 0 212
0 --> 2 || 2.464 3.56006 0 129
0 --> 5 || 2.464 9.35552 0 339
0 --> 4 || 2.464 0.0827922 0 3
0 --> 3 || 2.464 0.441558 0 16

0 --> 0 || 2.464 10.5974 0 384
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 5.18831 0 188
0 --> 2 || 2.464 1.65584 0 60
0 --> 3 || 2.464 0.413961 0 15

0 --> 0 || 2.464 8.36201 0 303
0 --> 5 || 2.464 9.65909 0 350
0 --> 1 || 2.464 5.07792 0 184
0 --> 2 || 2.464 4.25 0 154
0 --> 3 || 2.464 0.248377 0 9

0 --> 5 || 2.464 17.8831 0 648
0 --> 0 || 2.464 5.21591 0 189
0 --> 2 || 2.464 2.01461 0 73
0 --> 1 || 2.464 1.49026 0 54
0 --> 3 || 2.464 0.938312 0 34
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 11.3149 0 410
0 --> 5 || 2.464 9.43831 0 342
0 --> 1 || 2.464 3.86364 0 140
0 --> 2 || 2.464 1.21429 0 44
0 --> 3 || 2.464 0.910714 0 33
0 --> 4 || 2.464 0.855519 0 31

0 --> 0 || 2.464 12.6948 0 460
0 --> 2 || 2.464 2.45617 0 89
0 --> 5 || 2.464 10.1282 0 367
0 --> 3 || 2.464 0.137987 0 5
0 --> 1 || 2.464 2.1526 0 78
0 --> 4 || 2.464 0.0275974 0 1

0 --> 5 || 2.464 19.2078 0 696
0 --> 0 || 2.464 0.855519 0 31
0 --> 2 || 2.464 3.47727 0 126
0 --> 1 || 2.464 2.42857 0 88
0 --> 3 || 2.464 0.441558 0 16
0 --> 4 || 2.464 1.18669 0 43

0 --> 0 || 2.464 6.95455 0 252
0 --> 5 || 2.464 13.8263 0 501
0 --> 3 || 2.464 0.165584 0 6
0 --> 2 || 2.464 1.21429 0 44
0 --> 1 || 2.464 5.40909 0 196
0 --> 4 || 2.464 0.0275974 0 1

0 --> 1 || 2.464 8.11364 0 294
0 --> 5 || 2.464 9.63149 0 349
0 --> 3 || 2.464 0.74513 0 27
0 --> 0 || 2.464 4.71916 0 171
0 --> 2 || 2.464 4.33279 0 157
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 8.19643 0 297
0 --> 1 || 2.464 7.4237 0 269
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.65584 0 60
0 --> 2 || 2.464 1.18669 0 43
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 7.25812 0 263
0 --> 5 || 2.464 9.49351 0 344
0 --> 1 || 2.464 8.55519 0 310
0 --> 3 || 2.464 1.37987 0 50
0 --> 2 || 2.464 0.883117 0 32
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 6.78896 0 246
0 --> 5 || 2.464 9.46591 0 343
0 --> 1 || 2.464 8.58279 0 311
0 --> 3 || 2.464 1.0763 0 39
0 --> 4 || 2.464 0.607143 0 22
0 --> 2 || 2.464 1.0763 0 39

0 --> 0 || 2.464 4.69156 0 170
0 --> 5 || 2.464 13.6607 0 495
0 --> 1 || 2.464 5.3263 0 193
0 --> 2 || 2.464 3.53247 0 128
0 --> 3 || 2.464 0.358766 0 13
0 --> 4 || 2.464 0.0275974 0 1

0 --> 3 || 2.464 3.91883 0 142
0 --> 4 || 2.464 2.29058 0 83
0 --> 2 || 2.464 1.65584 0 60
0 --> 5 || 2.464 9.21753 0 334
0 --> 0 || 2.464 8.4724 0 307
0 --> 1 || 2.464 2.04221 0 74

0 --> 1 || 2.464 12.75 0 462
0 --> 5 || 2.464 9.24513 0 335
0 --> 0 || 2.464 2.45617 0 89
0 --> 2 || 2.464 2.34578 0 85
0 --> 3 || 2.464 0.772727 0 28
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 11.8117 0 428
0 --> 5 || 2.464 9.90747 0 359
0 --> 1 || 2.464 2.125 0 77
0 --> 2 || 2.464 2.56656 0 93
0 --> 3 || 2.464 0.855519 0 31
0 --> 4 || 2.464 0.331169 0 12

0 --> 2 || 2.464 3.58766 0 130
0 --> 1 || 2.464 5.40909 0 196
0 --> 0 || 2.464 8.33442 0 302
0 --> 5 || 2.464 9.65909 0 350
0 --> 3 || 2.464 0.551948 0 20
0 --> 4 || 2.464 0.0551948 0 2

0 --> 1 || 2.464 8.00325 0 290
0 --> 5 || 2.464 10.4594 0 379
0 --> 2 || 2.464 5.10552 0 185
0 --> 0 || 2.464 3.64286 0 132
0 --> 3 || 2.464 0.220779 0 8
0 --> 4 || 2.464 0.165584 0 6

0 --> 0 || 2.464 11.7841 0 427
0 --> 3 || 2.464 1.26948 0 46
0 --> 1 || 2.464 3.2289 0 117
0 --> 5 || 2.464 9.46591 0 343
0 --> 2 || 2.464 1.35227 0 49
0 --> 4 || 2.464 0.496753 0 18

0 --> 0 || 2.464 10.9838 0 398
0 --> 2 || 2.464 4.63636 0 168
0 --> 1 || 2.464 1.95942 0 71
0 --> 5 || 2.464 9.79708 0 355
0 --> 3 || 2.464 0.220779 0 8

0 --> 0 || 2.464 9.5211 0 345
0 --> 1 || 2.464 5.05032 0 183
0 --> 2 || 2.464 3.06331 0 111
0 --> 5 || 2.464 9.74188 0 353
0 --> 3 || 2.464 0.220779 0 8

0 --> 4 || 2.464 1.90422 0 69
0 --> 2 || 2.464 12.2808 0 445
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.49026 0 54
0 --> 1 || 2.464 1.90422 0 69
0 --> 0 || 2.464 0.965909 0 35

0 --> 0 || 2.464 11.6461 0 422
0 --> 5 || 2.464 9.68669 0 351
0 --> 2 || 2.464 3.06331 0 111
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.74513 0 27
0 --> 4 || 2.464 0.220779 0 8

0 --> 2 || 2.464 5.60227 0 203
0 --> 1 || 2.464 7.25812 0 263
0 --> 0 || 2.464 4.88474 0 177
0 --> 5 || 2.464 9.46591 0 343
0 --> 3 || 2.464 0.386364 0 14

0 --> 1 || 2.464 5.40909 0 196
0 --> 2 || 2.464 5.16071 0 187
0 --> 5 || 2.464 9.30032 0 337
0 --> 4 || 2.464 1.73864 0 63
0 --> 0 || 2.464 4.2776 0 155
0 --> 3 || 2.464 1.71104 0 62

0 --> 5 || 2.464 19.263 0 698
0 --> 2 || 2.464 5.79545 0 210
0 --> 0 || 2.464 0.358766 0 13
0 --> 1 || 2.464 0.800325 0 29
0 --> 4 || 2.464 0.689935 0 25
0 --> 3 || 2.464 0.689935 0 25

0 --> 0 || 2.464 5.54708 0 201
0 --> 2 || 2.464 3.03571 0 110
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 8.94156 0 324
0 --> 3 || 2.464 0.331169 0 12

0 --> 0 || 2.464 5.90584 0 214
0 --> 1 || 2.464 9.76948 0 354
0 --> 5 || 2.464 9.02435 0 327
0 --> 3 || 2.464 0.496753 0 18
0 --> 2 || 2.464 2.37338 0 86
0 --> 4 || 2.464 0.0275974 0 1

0 --> 3 || 2.464 4.02922 0 146
0 --> 1 || 2.464 9.5763 0 347
0 --> 0 || 2.464 1.57305 0 57
0 --> 5 || 2.464 9.87987 0 358
0 --> 2 || 2.464 2.29058 0 83
0 --> 4 || 2.464 0.248377 0 9

0 --> 0 || 2.464 11.1494 0 404
0 --> 1 || 2.464 4.11201 0 149
0 --> 5 || 2.464 9.71429 0 352
0 --> 2 || 2.464 2.34578 0 85
0 --> 3 || 2.464 0.275974 0 10

0 --> 4 || 2.464 2.78734 0 101
0 --> 5 || 2.464 9.43831 0 342
0 --> 2 || 2.464 11.3149 0 410
0 --> 1 || 2.464 1.24188 0 45
0 --> 0 || 2.464 1.71104 0 62
0 --> 3 || 2.464 1.1039 0 40

0 --> 0 || 2.464 7.97565 0 289
0 --> 5 || 2.464 10.0179 0 363
0 --> 1 || 2.464 4.30519 0 156
0 --> 3 || 2.464 0.413961 0 15
0 --> 2 || 2.464 4.80195 0 174
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 13.9091 0 504
0 --> 5 || 2.464 9.21753 0 334
0 --> 2 || 2.464 1.76623 0 64
0 --> 1 || 2.464 2.23539 0 81
0 --> 3 || 2.464 0.386364 0 14
0 --> 4 || 2.464 0.0827922 0 3

0 --> 3 || 2.464 2.42857 0 88
0 --> 5 || 2.464 14.1299 0 512
0 --> 1 || 2.464 2.29058 0 83
0 --> 2 || 2.464 6.375 0 231
0 --> 4 || 2.464 0.910714 0 33
0 --> 0 || 2.464 1.46266 0 53

0 --> 0 || 2.464 8.30682 0 301
0 --> 1 || 2.464 5.85065 0 212
0 --> 2 || 2.464 3.56006 0 129
0 --> 5 || 2.464 9.35552 0 339
0 --> 4 || 2.464 0.0827922 0 3
0 --> 3 || 2.464 0.441558 0 16

0 --> 0 || 2.464 10.5974 0 384
0 --> 5 || 2.464 9.74188 0 353
0 --> 1 || 2.464 5.18831 0 188
0 --> 2 || 2.464 1.65584 0 60
0 --> 3 || 2.464 0.413961 0 15

0 --> 0 || 2.464 8.36201 0 303
0 --> 5 || 2.464 9.65909 0 350
0 --> 1 || 2.464 5.07792 0 184
0 --> 2 || 2.464 4.25 0 154
0 --> 3 || 2.464 0.248377 0 9

0 --> 5 || 2.464 17.8831 0 648
0 --> 0 || 2.464 5.21591 0 189
0 --> 2 || 2.464 2.01461 0 73
0 --> 1 || 2.464 1.49026 0 54
0 --> 3 || 2.464 0.938312 0 34
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 11.3149 0 410
0 --> 5 || 2.464 9.43831 0 342
0 --> 1 || 2.464 3.86364 0 140
0 --> 2 || 2.464 1.21429 0 44
0 --> 3 || 2.464 0.910714 0 33
0 --> 4 || 2.464 0.855519 0 31

0 --> 0 || 2.464 12.6948 0 460
0 --> 2 || 2.464 2.45617 0 89
0 --> 5 || 2.464 10.1282 0 367
0 --> 3 || 2.464 0.137987 0 5
0 --> 1 || 2.464 2.1526 0 78
0 --> 4 || 2.464 0.0275974 0 1

0 --> 5 || 2.464 19.2078 0 696
0 --> 0 || 2.464 0.855519 0 31
0 --> 2 || 2.464 3.47727 0 126
0 --> 1 || 2.464 2.42857 0 88
0 --> 3 || 2.464 0.441558 0 16
0 --> 4 || 2.464 1.18669 0 43

0 --> 0 || 2.464 6.95455 0 252
0 --> 5 || 2.464 13.8263 0 501
0 --> 3 || 2.464 0.165584 0 6
0 --> 2 || 2.464 1.21429 0 44
0 --> 1 || 2.464 5.40909 0 196
0 --> 4 || 2.464 0.0275974 0 1

0 --> 1 || 2.464 8.11364 0 294
0 --> 5 || 2.464 9.63149 0 349
0 --> 3 || 2.464 0.74513 0 27
0 --> 0 || 2.464 4.71916 0 171
0 --> 2 || 2.464 4.33279 0 157
0 --> 4 || 2.464 0.0551948 0 2

0 --> 0 || 2.464 8.19643 0 297
0 --> 1 || 2.464 7.4237 0 269
0 --> 5 || 2.464 9.05195 0 328
0 --> 3 || 2.464 1.65584 0 60
0 --> 2 || 2.464 1.18669 0 43
0 --> 4 || 2.464 0.0827922 0 3

0 --> 0 || 2.464 7.25812 0 263
0 --> 5 || 2.464 9.49351 0 344
0 --> 1 || 2.464 8.55519 0 310
0 --> 3 || 2.464 1.37987 0 50
0 --> 2 || 2.464 0.883117 0 32
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 6.78896 0 246
0 --> 5 || 2.464 9.46591 0 343
0 --> 1 || 2.464 8.58279 0 311
0 --> 3 || 2.464 1.0763 0 39
0 --> 4 || 2.464 0.607143 0 22
0 --> 2 || 2.464 1.0763 0 39

0 --> 0 || 2.464 4.69156 0 170
0 --> 5 || 2.464 13.6607 0 495
0 --> 1 || 2.464 5.3263 0 193
0 --> 2 || 2.464 3.53247 0 128
0 --> 3 || 2.464 0.358766 0 13
0 --> 4 || 2.464 0.0275974 0 1

0 --> 0 || 2.464 11.8117 0 428
0 --> 3 || 2.464 1.46266 0 53
0 --> 5 || 2.464 9.41071 0 341
0 --> 1 || 2.464 2.64935 0 96
0 --> 4 || 2.464 0.993506 0 36
0 --> 2 || 2.464 1.26948 0 46

0 --> 2 || 2.464 8.72078 0 316
0 --> 5 || 2.464 10.3214 0 374
0 --> 0 || 2.464 6.20942 0 225
0 --> 1 || 2.464 1.71104 0 62
0 --> 3 || 2.464 0.579545 0 21
0 --> 4 || 2.464 0.0551948 0 2

0 --> 1 || 2.464 12.3636 0 448
0 --> 0 || 2.464 2.51136 0 91
0 --> 2 || 2.464 2.53896 0 92
0 --> 5 || 2.464 9.6039 0 348
0 --> 3 || 2.464 0.579545 0 21

0 --> 0 || 2.464 12.4188 0 450
0 --> 5 || 2.464 9.6039 0 348
0 --> 2 || 2.464 3.39448 0 123
0 --> 1 || 2.464 1.73864 0 63
0 --> 3 || 2.464 0.303571 0 11
0 --> 4 || 2.464 0.137987 0 5

0 --> 1 || 2.464 10.8458 0 393
0 --> 5 || 2.464 9.71429 0 352
0 --> 3 || 2.464 1.87662 0 68
0 --> 0 || 2.464 2.59416 0 94
0 --> 2 || 2.464 2.51136 0 91
0 --> 4 || 2.464 0.0551948 0 2

0 --> 1 || 2.464 9.82468 0 356
0 --> 5 || 2.464 9.32792 0 338
0 --> 0 || 2.464 3.72565 0 135
0 --> 2 || 2.464 4.16721 0 151
0 --> 4 || 2.464 0.0551948 0 2
0 --> 3 || 2.464 0.496753 0 18

0 --> 2 || 2.464 9.5211 0 345
0 --> 4 || 2.464 3.2013 0 116
0 --> 5 || 2.464 9.43831 0 342
0 --> 0 || 2.464 3.25649 0 118
0 --> 3 || 2.464 0.883117 0 32
0 --> 1 || 2.464 1.29708 0 47

0 --> 0 || 2.464 10.7078 0 388
0 --> 5 || 2.464 10.1558 0 368
0 --> 2 || 2.464 2.89773 0 105
0 --> 1 || 2.464 3.58766 0 130
0 --> 3 || 2.464 0.248377 0 9

0 --> 0 || 2.464 12.2532 0 444
0 --> 5 || 2.464 9.71429 0 352
0 --> 2 || 2.464 2.23539 0 81
0 --> 1 || 2.464 3.28409 0 119
0 --> 3 || 2.464 0.11039 0 4

0 --> 1 || 2.464 9.49351 0 344
0 --> 0 || 2.464 5.98864 0 217
0 --> 5 || 2.464 9.87987 0 358
0 --> 2 || 2.464 2.04221 0 74
0 --> 3 || 2.464 0.165584 0 6
0 --> 4 || 2.464 0.0275974 0 1

0 --> 4 || 2.464 2.29058 0 83
0 --> 1 || 2.464 2.45617 0 89
0 --> 5 || 2.464 9.63149 0 349
0 --> 3 || 2.464 2.64935 0 96
0 --> 2 || 2.464 9.30032 0 337
0 --> 0 || 2.464 1.26948 0 46

0 --> 2 || 2.464 6.65097 0 241
0 --> 0 || 2.464 5.16071 0 187
0 --> 5 || 2.464 9.76948 0 354
0 --> 1 || 2.464 4.71916 0 171
0 --> 4 || 2.464 0.0827922 0 3
0 --> 3 || 2.464 1.21429 0 44

0 --> 5 || 2.464 15.151 0 549
0 --> 2 || 2.464 8.11364 0 294
